,Date,Actual,Predicted
324,2014-05-13,[111.37999725],[109.15799013]
325,2014-05-14,[110.43000031],[110.45924681]
326,2014-05-15,[109.5],[110.87351962]
327,2014-05-16,[109.61000061],[110.27812954]
328,2014-05-19,[108.61000061],[109.77447918]
329,2014-05-20,[107.66999817],[109.16092668]
330,2014-05-21,[108.05999756],[108.39612344]
331,2014-05-22,[109.48999786],[108.17669808]
332,2014-05-23,[109.63999939],[108.93754989]
333,2014-05-27,[110.11000061],[109.64045452]
334,2014-05-28,[109.91000366],[110.12151076]
335,2014-05-29,[111.48999786],[110.16382949]
336,2014-05-30,[113.11000061],[110.85175958]
337,2014-06-02,[113.94999695],[112.22415903]
338,2014-06-03,[114.91999817],[113.49449921]
339,2014-06-04,[114.48000336],[114.50689555]
340,2014-06-05,[114.58999634],[114.68242723]
341,2014-06-06,[115.15000153],[114.5913985]
342,2014-06-09,[115.06999969],[114.83123629]
343,2014-06-10,[113.87000275],[115.05842692]
344,2014-06-11,[114.05999756],[114.53495844]
345,2014-06-12,[114.26000214],[114.14214728]
346,2014-06-13,[114.23999786],[114.15962673]
347,2014-06-16,[114.48000336],[114.29738283]
348,2014-06-17,[114.70999908],[114.48556136]
349,2014-06-18,[116.05000305],[114.68442772]
350,2014-06-19,[117.75],[115.45742731]
351,2014-06-20,[118.22000122],[116.87198452]
352,2014-06-23,[117.22000122],[117.94637462]
353,2014-06-24,[116.55000305],[117.76500788]
354,2014-06-25,[117.47000122],[116.94491703]
355,2014-06-26,[117.65000153],[116.95991009]
356,2014-06-27,[118.83999634],[117.41981664]
357,2014-06-30,[119.66000366],[118.33944642]
358,2014-07-01,[122.26000214],[119.28042952]
359,2014-07-02,[121.87999725],[121.03317953]
360,2014-07-03,[121.73000336],[121.9097772]
361,2014-07-07,[121.16000366],[121.88440946]
362,2014-07-08,[120.30000305],[121.33889812]
363,2014-07-09,[120.04000092],[120.58248215]
364,2014-07-10,[118.05000305],[120.1078722]
365,2014-07-11,[118.51999664],[118.9692962]
366,2014-07-14,[119.],[118.45300919]
367,2014-07-15,[118.70999908],[118.71374796]
368,2014-07-16,[119.15000153],[118.89392612]
369,2014-07-17,[118.37999725],[119.08993207]
370,2014-07-18,[118.90000153],[118.76664722]
371,2014-07-21,[118.66000366],[118.72206677]
372,2014-07-22,[119.18000031],[118.7120374]
373,2014-07-23,[119.43000031],[118.97899677]
374,2014-07-24,[119.37999725],[119.31035485]
375,2014-07-25,[119.62999725],[119.43374321]
376,2014-07-28,[120.58000183],[119.54169753]
377,2014-07-29,[120.58000183],[120.10191838]
378,2014-07-30,[120.04000092],[120.51818573]
379,2014-07-31,[117.98999786],[120.34220292]
380,2014-08-01,[117.58999634],[118.99244842]
381,2014-08-04,[118.12000275],[117.84192628]
382,2014-08-05,[119.02999878],[117.77636223]
383,2014-08-06,[116.61000061],[118.57580603]
384,2014-08-07,[116.68000031],[117.86408274]
385,2014-08-08,[117.62999725],[116.97142008]
