,Date,Actual,Predicted
207,2013-11-21,[38.11999893],[37.74598441]
208,2013-11-22,[37.63000107],[37.92630903]
209,2013-11-25,[37.54999924],[37.80203831]
210,2013-11-26,[37.66999817],[37.55742766]
211,2013-11-27,[38.84999847],[37.5631876]
212,2013-11-29,[38.72999954],[38.41561616]
213,2013-12-02,[39.11000061],[38.81148376]
214,2013-12-03,[38.13999939],[38.98313485]
215,2013-12-04,[38.70999908],[38.41171269]
216,2013-12-05,[39.09000015],[38.4329819]
217,2013-12-06,[40.16999817],[38.92160591]
218,2013-12-09,[40.90000153],[39.83558567]
219,2013-12-10,[40.40000153],[40.68172524]
220,2013-12-11,[40.15999985],[40.5805199]
221,2013-12-12,[40.04999924],[40.15948872]
222,2013-12-13,[40.04000092],[39.98056836]
223,2013-12-16,[41.43999863],[39.99934271]
224,2013-12-17,[41.52999878],[40.93891695]
225,2013-12-18,[41.27000046],[41.52607506]
226,2013-12-19,[40.29999924],[41.35127275]
227,2013-12-20,[40.99000168],[40.5071082]
228,2013-12-23,[41.29000092],[40.60778452]
229,2013-12-24,[40.88000107],[41.14727034]
230,2013-12-26,[41.52000046],[41.03822028]
231,2013-12-27,[40.93999863],[41.21305849]
232,2013-12-30,[40.68999863],[41.05174527]
233,2013-12-31,[40.86999893],[40.70313808]
234,2014-01-02,[40.95000076],[40.69813139]
235,2014-01-03,[39.56999969],[40.85811411]
236,2014-01-06,[40.40000153],[39.99132799]
237,2014-01-07,[40.20000076],[39.97246861]
238,2014-01-08,[40.41999817],[40.18031144]
239,2014-01-09,[40.49000168],[40.3386696]
240,2014-01-10,[40.02999878],[40.4020095]
241,2014-01-13,[39.58000183],[40.11115209]
242,2014-01-14,[40.02000046],[39.63767846]
243,2014-01-15,[39.38000107],[39.76579612]
244,2014-01-16,[39.],[39.55677546]
245,2014-01-17,[38.59999847],[39.07157675]
246,2014-01-21,[38.34000015],[38.62156601]
247,2014-01-22,[38.79999924],[38.34206521]
248,2014-01-23,[38.41999817],[38.58408703]
249,2014-01-24,[36.83000183],[38.52786893]
250,2014-01-27,[36.75999832],[37.32742282]
251,2014-01-28,[36.81000137],[36.62941679]
252,2014-01-29,[36.34999847],[36.6890991]
253,2014-01-30,[36.84000015],[36.52812312]
254,2014-01-31,[36.08000183],[36.64638619]
255,2014-02-03,[35.25],[36.29952456]
256,2014-02-04,[35.81999969],[35.49633487]
257,2014-02-05,[35.24000168],[35.5322761]
258,2014-02-06,[35.22999954],[35.42877543]
259,2014-02-07,[36.11000061],[35.25222886]
260,2014-02-10,[34.90000153],[35.75897856]
261,2014-02-11,[35.25],[35.3398383]
262,2014-02-12,[35.56000137],[35.11223975]
263,2014-02-13,[35.20000076],[35.38862811]
264,2014-02-14,[35.95000076],[35.35740948]
265,2014-02-18,[36.31000137],[35.69305865]
266,2014-02-19,[36.02999878],[36.17299315]
267,2014-02-20,[36.50999832],[36.15872168]
268,2014-02-21,[36.68999863],[36.32587297]
269,2014-02-24,[36.54999924],[36.60667163]
270,2014-02-25,[36.09999847],[36.61928517]
271,2014-02-26,[36.83000183],[36.2475198]
272,2014-02-27,[36.77000046],[36.53040668]
273,2014-02-28,[36.20000076],[36.79471077]
274,2014-03-03,[36.20999908],[36.43016191]
275,2014-03-04,[36.93000031],[36.15607156]
276,2014-03-05,[37.52000046],[36.62901216]
277,2014-03-06,[37.54000092],[37.34676499]
278,2014-03-07,[37.68999863],[37.58225255]
279,2014-03-10,[37.09000015],[37.61839312]
280,2014-03-11,[35.18000031],[37.25265041]
281,2014-03-12,[34.86000061],[35.79545143]
282,2014-03-13,[34.09000015],[34.8578272]
283,2014-03-14,[34.09000015],[34.28757355]
284,2014-03-17,[34.63000107],[34.10932225]
285,2014-03-18,[35.16999817],[34.44188257]
286,2014-03-19,[34.90999985],[34.99265684]
287,2014-03-20,[35.25999832],[35.02661835]
288,2014-03-21,[35.00999832],[35.11896579]
289,2014-03-24,[35.13999939],[35.06963839]
290,2014-03-25,[34.50999832],[35.09593663]
291,2014-03-26,[34.22000122],[34.73142633]
292,2014-03-27,[34.50999832],[34.311922]
293,2014-03-28,[34.72999954],[34.37982703]
294,2014-03-31,[34.41999817],[34.66771595]
295,2014-04-01,[34.34000015],[34.56932968]
